ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT
Whale,,,,,,,,,,,,
SLEEPBAG-0.5TOG-WHALE-WHITE-S,5904844917263,"Sleepbag 0,5 TOG Whale White S ",,"Dimensions: 40x64 cm 
Made from certified OEKO-TEX 
Standard 100 materials.
Fabric: 100% Bamboo Viscose, 
weight: 170g/m².
Bamboo fabric properties: Hypoallergenic, 
antibacterial, antifungal, thermoregulating,
 and highly absorbent. Effectively eliminates 
odors and ensures exceptional comfort
 – incredibly soft and gentle to the touch.
Care instructions: Machine washable at 30°C.
Ideal for ensuring a safe 
and cozy sleep for babies 
while maintaining excellent 
breathability and moisture control.",49.76,0.2,>25% <40%,"Design: whale,
Background colour: white","100% Viscose bamboo,
Weight: 170g/m2",40x64 cm ,,
SLEEPBAG-0.5TOG-WHALE-WHITE-M,5904844917270,"Sleepbag 0,5 TOG Whale White M",,"Dimensions: 50x90 cm 
Made from certified OEKO-TEX 
Standard 100 materials.
Fabric: 100% Bamboo Viscose, 
weight: 170g/m².
Bamboo fabric properties: Hypoallergenic, 
antibacterial, antifungal, thermoregulating,
 and highly absorbent. Effectively eliminates 
odors and ensures exceptional comfort
 – incredibly soft and gentle to the touch.
Care instructions: Machine washable at 30°C.
Ideal for ensuring a safe 
and cozy sleep for babies 
while maintaining excellent 
breathability and moisture control.",56.9,0.2,>25% <40%,"Design: whale,
Background colour: white","100% Viscose bamboo,
Weight: 170g/m2",50x90 cm,,
SLEEPBAG-0.5TOG-WHALE-BEIGE-S,5904844917300,"Sleepbag 0,5 TOG Whale Beige S ",,"Dimensions: 40x64 cm 
Made from certified OEKO-TEX 
Standard 100 materials.
Fabric: 100% Bamboo Viscose, 
weight: 170g/m².
Bamboo fabric properties: Hypoallergenic, 
antibacterial, antifungal, thermoregulating,
 and highly absorbent. Effectively eliminates 
odors and ensures exceptional comfort
 – incredibly soft and gentle to the touch.
Care instructions: Machine washable at 30°C.
Ideal for ensuring a safe 
and cozy sleep for babies 
while maintaining excellent 
breathability and moisture control.",49.76,0.2,>25% <40%,"Design: whale,
Background colour: beige","100% Viscose bamboo,
Weight: 170g/m2",40x64 cm ,,
SLEEPBAG-0.5TOG-WHALE-BEIGE-M,5904844917317,"Sleepbag 0,5 TOG Whale Beige M",,"Dimensions: 50x90 cm 
Made from certified OEKO-TEX 
Standard 100 materials.
Fabric: 100% Bamboo Viscose, 
weight: 170g/m².
Bamboo fabric properties: Hypoallergenic, 
antibacterial, antifungal, thermoregulating,
 and highly absorbent. Effectively eliminates 
odors and ensures exceptional comfort
 – incredibly soft and gentle to the touch.
Care instructions: Machine washable at 30°C.
Ideal for ensuring a safe 
and cozy sleep for babies 
while maintaining excellent 
breathability and moisture control.",56.9,0.2,>25% <40%,"Design: whale,
Background colour: beige","100% Viscose bamboo,
Weight: 170g/m2",50x90 cm,,
SLEEPBAG-0.5TOG-WHALE-DARKBEIGE-S,5904844917324,"Sleepbag 0,5 TOG Whale DarkBeige S ",,"Dimensions: 40x64 cm 
Made from certified OEKO-TEX 
Standard 100 materials.
Fabric: 100% Bamboo Viscose, 
weight: 170g/m².
Bamboo fabric properties: Hypoallergenic, 
antibacterial, antifungal, thermoregulating,
 and highly absorbent. Effectively eliminates 
odors and ensures exceptional comfort
 – incredibly soft and gentle to the touch.
Care instructions: Machine washable at 30°C.
Ideal for ensuring a safe 
and cozy sleep for babies 
while maintaining excellent 
breathability and moisture control.",49.76,0.2,>25% <40%,"Design: whale,
Background colour: dark beige.","100% Viscose bamboo,
Weight: 170g/m2",40x64 cm ,,
SLEEPBAG-0.5TOG-WHALE-DARKBEIGE-M,5904844917331,"Sleepbag 0,5 TOG Whale DarkBeige M",,"Dimensions: 50x90 cm 
Made from certified OEKO-TEX 
Standard 100 materials.
Fabric: 100% Bamboo Viscose, 
weight: 170g/m².
Bamboo fabric properties: Hypoallergenic, 
antibacterial, antifungal, thermoregulating,
 and highly absorbent. Effectively eliminates 
odors and ensures exceptional comfort
 – incredibly soft and gentle to the touch.
Care instructions: Machine washable at 30°C.
Ideal for ensuring a safe 
and cozy sleep for babies 
while maintaining excellent 
breathability and moisture control.",56.9,0.2,>25% <40%,"Design: whale,
Background colour: dark beige.","100% Viscose bamboo,
Weight: 170g/m2",50x90 cm,,
SLEEPBAG-0.5TOG-WHALE-BROWN-S,5904844917348,"Sleepbag 0,5 TOG Whale Brown S ",,"Dimensions: 40x64 cm 
Made from certified OEKO-TEX 
Standard 100 materials.
Fabric: 100% Bamboo Viscose, 
weight: 170g/m².
Bamboo fabric properties: Hypoallergenic, 
antibacterial, antifungal, thermoregulating,
 and highly absorbent. Effectively eliminates 
odors and ensures exceptional comfort
 – incredibly soft and gentle to the touch.
Care instructions: Machine washable at 30°C.
Ideal for ensuring a safe 
and cozy sleep for babies 
while maintaining excellent 
breathability and moisture control.",49.76,0.2,>25% <40%,"Design: whale,
Background colour: brown","100% Viscose bamboo,
Weight: 170g/m2",40x64 cm ,,
SLEEPBAG-0.5TOG-WHALE-BROWN-M,5904844917355,"Sleepbag 0,5 TOG Whale Brown M",,"Dimensions: 50x90 cm 
Made from certified OEKO-TEX 
Standard 100 materials.
Fabric: 100% Bamboo Viscose, 
weight: 170g/m².
Bamboo fabric properties: Hypoallergenic, 
antibacterial, antifungal, thermoregulating,
 and highly absorbent. Effectively eliminates 
odors and ensures exceptional comfort
 – incredibly soft and gentle to the touch.
Care instructions: Machine washable at 30°C.
Ideal for ensuring a safe 
and cozy sleep for babies 
while maintaining excellent 
breathability and moisture control.",56.9,0.2,>25% <40%,"Design: whale,
Background colour: brown","100% Viscose bamboo,
Weight: 170g/m2",50x90 cm,,
SLEEPBAG-0.5TOG-WHALE-DARKBLUE-S,5904844917362,"Sleepbag 0,5 TOG Whale Dark Blue S ",,"Dimensions: 40x64 cm 
Made from certified OEKO-TEX 
Standard 100 materials.
Fabric: 100% Bamboo Viscose, 
weight: 170g/m².
Bamboo fabric properties: Hypoallergenic, 
antibacterial, antifungal, thermoregulating,
 and highly absorbent. Effectively eliminates 
odors and ensures exceptional comfort
 – incredibly soft and gentle to the touch.
Care instructions: Machine washable at 30°C.
Ideal for ensuring a safe 
and cozy sleep for babies 
while maintaining excellent 
breathability and moisture control.",49.76,0.2,>25% <40%,"Design: whale,
Background colour: dark blue","100% Viscose bamboo,
Weight: 170g/m2",40x64 cm ,,
