ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT
PILLOW-WHALE-WHITE-S,5904844916068,Pillow Whale White 40x30,,"Dimensions: cushion - 40 cm x 30 cm
Made from certified OEKO-TEX Standard 100 materials.
Fabric: 100% Viscose bamboo, weight: 170g/m2.
Bamboo fabric properties: hypoallergenic, antibacterial, antifungal, has thermoregulatory properties, hygroscopic, eliminates odours, ensures high comfort of use - extremely nice and delicate to the touch. 
Filling: highly fluffy silicone fleece 200 grams.
Washable at 30 degrees C°.",16.9,0.2,>25% <40%,"Design: whale,
Background colour: white","100% Viscose bamboo,
Weight: 170g/m2,
200 g high-bulk silicone fleece",40x30 cm,,
PILLOW-WHALE-CREAM-S,5904844916105,Pillow Whale Cream 40x30,,"Dimensions: cushion - 40 cm x 30 cm
Made from certified OEKO-TEX Standard 100 materials.
Fabric: 100% Viscose bamboo, weight: 170g/m2.
Bamboo fabric properties: hypoallergenic, antibacterial, antifungal, has thermoregulatory properties, hygroscopic, eliminates odours, ensures high comfort of use - extremely nice and delicate to the touch. 
Filling: highly fluffy silicone fleece 200 grams.
Washable at 30 degrees C°.",16.9,0.2,>25% <40%,"Design: whale,
Background colour: cream","100% Viscose bamboo,
Weight: 170g/m2,
200 g high-bulk silicone fleece",40x30 cm,,
PILLOW-WHALE-BEIGE-S,5904844916082,Pillow Whale Beige 40x30,,"Dimensions: cushion - 40 cm x 30 cm
Made from certified OEKO-TEX Standard 100 materials.
Fabric: 100% Viscose bamboo, weight: 170g/m2.
Bamboo fabric properties: hypoallergenic, antibacterial, antifungal, has thermoregulatory properties, hygroscopic, eliminates odours, ensures high comfort of use - extremely nice and delicate to the touch. 
Filling: highly fluffy silicone fleece 200 grams.
Washable at 30 degrees C°.",16.9,0.2,>25% <40%,"Design: whale,
Background colour: beige","100% Viscose bamboo,
Weight: 170g/m2,
200 g high-bulk silicone fleece",40x30 cm,,
PILLOW-WHALE-DARKBEIGE-S,5904844916129,Pillow Whale Dark Beige 40x30,,"Dimensions: cushion - 40 cm x 30 cm
Made from certified OEKO-TEX Standard 100 materials.
Fabric: 100% Viscose bamboo, weight: 170g/m2.
Bamboo fabric properties: hypoallergenic, antibacterial, antifungal, has thermoregulatory properties, hygroscopic, eliminates odours, ensures high comfort of use - extremely nice and delicate to the touch. 
Filling: highly fluffy silicone fleece 200 grams.
Washable at 30 degrees C°.",16.9,0.2,>25% <40%,"Design: whale,
Background colour: dark beige.","100% Viscose bamboo,
Weight: 170g/m2,
200 g high-bulk silicone fleece",40x30 cm,,
PILLOW-WHALE-BROWN-S,5904844916143,Pillow Whale Brown 40x30 40x30,,"Dimensions: cushion - 40 cm x 30 cm
Made from certified OEKO-TEX Standard 100 materials.
Fabric: 100% Viscose bamboo, weight: 170g/m2.
Bamboo fabric properties: hypoallergenic, antibacterial, antifungal, has thermoregulatory properties, hygroscopic, eliminates odours, ensures high comfort of use - extremely nice and delicate to the touch. 
Filling: highly fluffy silicone fleece 200 grams.
Washable at 30 degrees C°.",16.9,0.2,>25% <40%,"Design: whale,
Background colour: brown","100% Viscose bamboo,
Weight: 170g/m2,
200 g high-bulk silicone fleece",40x30 cm,,
PILLOW-WHALE-DARKBLUE-S,5904844916167,Pillow Whale Dark Blue 40x30,,"Dimensions: cushion - 40 cm x 30 cm
Made from certified OEKO-TEX Standard 100 materials.
Fabric: 100% Viscose bamboo, weight: 170g/m2.
Bamboo fabric properties: hypoallergenic, antibacterial, antifungal, has thermoregulatory properties, hygroscopic, eliminates odours, ensures high comfort of use - extremely nice and delicate to the touch. 
Filling: highly fluffy silicone fleece 200 grams.
Washable at 30 degrees C°.",16.9,0.2,>25% <40%,"Design: whale,
Background colour: dark blue","100% Viscose bamboo,
Weight: 170g/m2,
200 g high-bulk silicone fleece",40x30 cm,,
PILLOW-WHALE-OLIVE-S,5904844916181,Pillow Whale Olive 40x30,,"Dimensions: cushion - 40 cm x 30 cm
Made from certified OEKO-TEX Standard 100 materials.
Fabric: 100% Viscose bamboo, weight: 170g/m2.
Bamboo fabric properties: hypoallergenic, antibacterial, antifungal, has thermoregulatory properties, hygroscopic, eliminates odours, ensures high comfort of use - extremely nice and delicate to the touch. 
Filling: highly fluffy silicone fleece 200 grams.
Washable at 30 degrees C°.",16.9,0.2,>25% <40%,"Design: whale,
Background colour: olive green","100% Viscose bamboo,
Weight: 170g/m2,
200 g high-bulk silicone fleece",40x30 cm,,
PILLOW-POLICE-WHITE-S,5904844916204,Pillow Police White 40x30,,"Dimensions: cushion - 40 cm x 30 cm
Made from certified OEKO-TEX Standard 100 materials.
Fabric: 100% Viscose bamboo, weight: 170g/m2.
Bamboo fabric properties: hypoallergenic, antibacterial, antifungal, has thermoregulatory properties, hygroscopic, eliminates odours, ensures high comfort of use - extremely nice and delicate to the touch. 
Filling: highly fluffy silicone fleece 200 grams.
Washable at 30 degrees C°.",16.9,0.2,>25% <40%,"Design: police officer,
Background colour: white","100% Viscose bamboo,
Weight: 170g/m2,
200 g high-bulk silicone fleece",40x30 cm,,
PILLOW-POLICE-DARKBLUE-S,5904844916228,Pillow Police Dark Blue 40x30,,"Dimensions: cushion - 40 cm x 30 cm
Made from certified OEKO-TEX Standard 100 materials.
Fabric: 100% Viscose bamboo, weight: 170g/m2.
Bamboo fabric properties: hypoallergenic, antibacterial, antifungal, has thermoregulatory properties, hygroscopic, eliminates odours, ensures high comfort of use - extremely nice and delicate to the touch. 
Filling: highly fluffy silicone fleece 200 grams.
Washable at 30 degrees C°.",16.9,0.2,>25% <40%,"Design: police officer,
Background colour: dark blue","100% Viscose bamboo,
Weight: 170g/m2,
200 g high-bulk silicone fleece",40x30 cm,,
PILLOW-CANDYCUTE-WHITE-S,5904844916242,Pillow CandyCute White 40x30,,"Dimensions: cushion - 40 cm x 30 cm
Made from certified OEKO-TEX Standard 100 materials.
Fabric: 100% Viscose bamboo, weight: 170g/m2.
Bamboo fabric properties: hypoallergenic, antibacterial, antifungal, has thermoregulatory properties, hygroscopic, eliminates odours, ensures high comfort of use - extremely nice and delicate to the touch. 
Filling: highly fluffy silicone fleece 200 grams.
Washable at 30 degrees C°.",16.9,0.2,>25% <40%,"Design: candy cute,
Background colour: white","100% Viscose bamboo,
Weight: 170g/m2,
200 g high-bulk silicone fleece",40x30 cm,,
