ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,,PHOTOS
W5-N,5904844914460,W5 baby bed 5-in-1,,"Baby bed with cradle
This practical and versatile 5-in-1 bed with a cradle is perfect for small rooms. It has a built-in cradle (additionally paid) that gently rocks the baby ""side to side"". The ability to dismantle the cradle gives you the option of using a free-standing cot or a cot on wheels. Thanks to its compact dimensions, it fits through doors and makes it easy to move between rooms. Perfect for children up to 3 years old.",459.9,0.2,>20%  <30%,NATURAL ,BEECH WOOD,"97 cm/  70 cm/ 75.5 cm (81,5 cm with wheels)",23 kg,81 cm/ 38 cm/ 58 cm,25 kg,PHOTOS
W5-W,5904844914477,W5 baby bed 5-in-1,,"Baby bed with cradle
This practical and versatile 5-in-1 bed with a cradle is perfect for small rooms. It has a built-in cradle (additionally paid) that gently rocks the baby ""side to side"". The ability to dismantle the cradle gives you the option of using a free-standing cot or a cot on wheels. Thanks to its compact dimensions, it fits through doors and makes it easy to move between rooms. Perfect for children up to 3 years old.",459.9,0.2,>20%  <30%,WHITE,BEECH WOOD,"97 cm/  70 cm/ 75.5 cm (81,5 cm with wheels)",23 kg,81 cm/ 38 cm/ 58 cm,25 kg,PHOTOS
W5-G,5904844914484,W5 baby bed 5-in-1,,"Baby bed with cradle
This practical and versatile 5-in-1 bed with a cradle is perfect for small rooms. It has a built-in cradle (additionally paid) that gently rocks the baby ""side to side"". The ability to dismantle the cradle gives you the option of using a free-standing cot or a cot on wheels. Thanks to its compact dimensions, it fits through doors and makes it easy to move between rooms. Perfect for children up to 3 years old.",459.9,0.2,>20%  <30%,GRAY,BEECH WOOD,"97 cm/  70 cm/ 75.5 cm (81,5 cm with wheels)",23 kg,81 cm/ 38 cm/ 58 cm,25 kg,PHOTOS
W5-O,5904844915221,W5 baby bed 5-in-1,,"Baby bed with cradle
This practical and versatile 5-in-1 bed with a cradle is perfect for small rooms. It has a built-in cradle (additionally paid) that gently rocks the baby ""side to side"". The ability to dismantle the cradle gives you the option of using a free-standing cot or a cot on wheels. Thanks to its compact dimensions, it fits through doors and makes it easy to move between rooms. Perfect for children up to 3 years old.",459.9,0.2,>20%  <30%,OLIVE,BEECH WOOD,"97 cm/  70 cm/ 75.5 cm (81,5 cm with wheels)",23 kg,81 cm/ 38 cm/ 58 cm,25 kg,PHOTOS
W5-V,5904844918857,W5 baby bed 5-in-1,,"Baby bed with cradle
This practical and versatile 5-in-1 bed with a cradle is perfect for small rooms. It has a built-in cradle (additionally paid) that gently rocks the baby ""side to side"". The ability to dismantle the cradle gives you the option of using a free-standing cot or a cot on wheels. Thanks to its compact dimensions, it fits through doors and makes it easy to move between rooms. Perfect for children up to 3 years old.",459.9,0.2,>20%  <30%,VINTAGE,BEECH WOOD,"97 cm/  70 cm/ 75.5 cm (81,5 cm with wheels)",23 kg,81 cm/ 38 cm/ 58 cm,25 kg,25 kg
BASIC-W5-2w1,5904844919380,Basic mattress for the W5 bed,,"Basic 2-in-1 mattress sold with the W5 bed. Made of high-quality flexible foam. The mattress is divided into two parts, making it suitable for every configuration of the 5-in-1 crib.",85,0.2,>20%  <30%,WHITE,T25 foam,"92 cm/ 65,5 cm / 5,5 cm",,,,
K-W5-N,5904844915146,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,NATURAL ,BEECH WOOD,,,,,PHOTOS
K-W5-W,5904844915139,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,WHITE,BEECH WOOD,,,,,PHOTOS
K-W5-G,5904844915153,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,GRAY,BEECH WOOD,,,,,PHOTOS
K-W5-O,5904844915238,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,OLIVE,BEECH WOOD,,,,,PHOTOS
K-W5-GH,5904844915160,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,GRAPHITE,BEECH WOOD,,,,,PHOTOS
K-W5-V,5904844918864,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,VINTAGE,BEECH WOOD,,,,,
