ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,REGISTERED DESIGN,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,,PHOTOS
W2-N,5903957708225,W2 BABY BED 7IN1,,"Registered design, protected by patent no:
007390836-0001","External dimensions and floor height measured without wheels.
Sideboard: height 75 cm, width about 38 cm, length 77.5 cm.
Smaller crib: height 75 cm, width 77.5 cm, length 77.5 cm.
Changing table: width 50 cm, length 77.5 cm.
Larger crib: H 75 cm, W 77.5 cm, L 127.5 cm.
5-level adjustable floor height: 7 cm, 18 cm, 30 cm, 41 cm, 49 cm.
Rubberized casters: 6 cm high.
3-part T25 firmness foam mattress with cotton covers - 6 cm high.",589,0.2,>20%  <30%,NATURAL ,BEECH WOOD,77-127 cm/ 77 cm/ 75-81 cm,25 kg,81 cm/ 38 cm/ 58 cm,27 kg,PHOTOS
W2-W,5903957708195,W2 BABY BED 7IN1,,"Registered design, protected by patent no:
007390836-0001","External dimensions and floor height measured without wheels.
Sideboard: height 75 cm, width about 38 cm, length 77.5 cm.
Smaller crib: height 75 cm, width 77.5 cm, length 77.5 cm.
Changing table: width 50 cm, length 77.5 cm.
Larger crib: H 75 cm, W 77.5 cm, L 127.5 cm.
5-level adjustable floor height: 7 cm, 18 cm, 30 cm, 41 cm, 49 cm.
Rubberized casters: 6 cm high.
3-part T25 firmness foam mattress with cotton covers - 6 cm high.",589,0.2,>20%  <30%,WHITE,BEECH WOOD,77-127 cm/ 77 cm/ 75-81 cm,25 kg,81 cm/ 38 cm/ 58 cm,27 kg,PHOTOS
W2-G,5903957708188,W2 BABY BED 7IN1,,"Registered design, protected by patent no:
007390836-0001","External dimensions and floor height measured without wheels.
Sideboard: height 75 cm, width about 38 cm, length 77.5 cm.
Smaller crib: height 75 cm, width 77.5 cm, length 77.5 cm.
Changing table: width 50 cm, length 77.5 cm.
Larger crib: H 75 cm, W 77.5 cm, L 127.5 cm.
5-level adjustable floor height: 7 cm, 18 cm, 30 cm, 41 cm, 49 cm.
Rubberized casters: 6 cm high.
3-part T25 firmness foam mattress with cotton covers - 6 cm high.",589,0.2,>20%  <30%,GRAY,BEECH WOOD,77-127 cm/ 77 cm/ 75-81 cm,25 kg,81 cm/ 38 cm/ 58 cm,27 kg,PHOTOS
W2-O,5904844915177,W2 BABY BED 7IN1,,"Registered design, protected by patent no:
007390836-0001","External dimensions and floor height measured without wheels.
Sideboard: height 75 cm, width about 38 cm, length 77.5 cm.
Smaller crib: height 75 cm, width 77.5 cm, length 77.5 cm.
Changing table: width 50 cm, length 77.5 cm.
Larger crib: H 75 cm, W 77.5 cm, L 127.5 cm.
5-level adjustable floor height: 7 cm, 18 cm, 30 cm, 41 cm, 49 cm.
Rubberized casters: 6 cm high.
3-part T25 firmness foam mattress with cotton covers - 6 cm high.",589,0.2,>20%  <30%,OLIVE,BEECH WOOD,77-127 cm/ 77 cm/ 75-81 cm,25 kg,81 cm/ 38 cm/ 58 cm,27 kg,PHOTOS
W2-V,5904844917195,W2 BABY BED 7IN1,,"Registered design, protected by patent no:
007390836-0001","External dimensions and floor height measured without wheels.
Sideboard: height 75 cm, width about 38 cm, length 77.5 cm.
Smaller crib: height 75 cm, width 77.5 cm, length 77.5 cm.
Changing table: width 50 cm, length 77.5 cm.
Larger crib: H 75 cm, W 77.5 cm, L 127.5 cm.
5-level adjustable floor height: 7 cm, 18 cm, 30 cm, 41 cm, 49 cm.
Rubberized casters: 6 cm high.
3-part T25 firmness foam mattress with cotton covers - 6 cm high.",589,0.2,>20%  <30%,VINTAGE,BEECH WOOD,77-127 cm/ 77 cm/ 75-81 cm,25 kg,81 cm/ 38 cm/ 58 cm,27 kg,
OWAL-N,5904844911896,OVAL BABY BED 7IN1 ,,"Registered design, protected by patent no:
004418713-0001","External dimensions and floor height measured without wheels. Small oval bed: height 81 cm, width 78 cm, length 78 cm.
Large oval bed: height 81 cm, width 78 cm, length 128.5 cm.
Changing table: height 81 cm, width 50 cm, length 78 cm.
5-level floor height adjustment: 12 cm, 24 cm, 35 cm, 47 cm and 55 cm.
3-piece mattress with cotton covers. The covers can be washed at 30 degrees Celsius.",589,0.2,>20%  <30%,NATURAL,BEECH WOOD,77-127 cm/ 77 cm/ 75-81 cm,25 kg,81 cm/ 38 cm/ 58 cm,27 kg,PHOTOS
OWAL-W,5903957708003,OVAL BABY BED 7IN1 ,,"Registered design, protected by patent no:
004418713-0001","External dimensions and floor height measured without wheels. Small oval bed: height 81 cm, width 78 cm, length 78 cm.
Large oval bed: height 81 cm, width 78 cm, length 128.5 cm.
Changing table: height 81 cm, width 50 cm, length 78 cm.
5-level floor height adjustment: 12 cm, 24 cm, 35 cm, 47 cm and 55 cm.
3-piece mattress with cotton covers. The covers can be washed at 30 degrees Celsius.",589,0.2,>20%  <30%,WHITE,BEECH WOOD,77-127 cm/ 77 cm/ 75-81 cm,25 kg,81 cm/ 38 cm/ 58 cm,27 kg,PHOTOS
OWAL-G,5903957708010,OVAL BABY BED 7IN1 ,,"Registered design, protected by patent no:
004418713-0001","External dimensions and floor height measured without wheels. Small oval bed: height 81 cm, width 78 cm, length 78 cm.
Large oval bed: height 81 cm, width 78 cm, length 128.5 cm.
Changing table: height 81 cm, width 50 cm, length 78 cm.
5-level floor height adjustment: 12 cm, 24 cm, 35 cm, 47 cm and 55 cm.
3-piece mattress with cotton covers. The covers can be washed at 30 degrees Celsius.",589,0.2,>20%  <30%,GRAY,BEECH WOOD,77-127 cm/ 77 cm/ 75-81 cm,25 kg,81 cm/ 38 cm/ 58 cm,27 kg,PHOTOS
OWAL-O,5904844915184,OVAL BABY BED 7IN1 ,,"Registered design, protected by patent no:
004418713-0001","External dimensions and floor height measured without wheels. Small oval bed: height 81 cm, width 78 cm, length 78 cm.
Large oval bed: height 81 cm, width 78 cm, length 128.5 cm.
Changing table: height 81 cm, width 50 cm, length 78 cm.
5-level floor height adjustment: 12 cm, 24 cm, 35 cm, 47 cm and 55 cm.
3-piece mattress with cotton covers. The covers can be washed at 30 degrees Celsius.",589,0.2,>20%  <30%,OLIVE,BEECH WOOD,77-127 cm/ 77 cm/ 75-81 cm,25 kg,81 cm/ 38 cm/ 58 cm,27 kg,PHOTOS
OWAL-V,5904844917188,OVAL BABY BED 7IN1 ,,"Registered design, protected by patent no:
004418713-0001","External dimensions and floor height measured without wheels. Small oval bed: height 81 cm, width 78 cm, length 78 cm.
Large oval bed: height 81 cm, width 78 cm, length 128.5 cm.
Changing table: height 81 cm, width 50 cm, length 78 cm.
5-level floor height adjustment: 12 cm, 24 cm, 35 cm, 47 cm and 55 cm.
3-piece mattress with cotton covers. The covers can be washed at 30 degrees Celsius.",589,0.2,>20%  <30%,VINTAGE,BEECH WOOD,77-127 cm/ 77 cm/ 75-81 cm,25 kg,81 cm/ 38 cm/ 58 cm,27 kg,
